,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Year,Month,VWAP,Day_Perc_Change,Trend
0,TATAPOWER,EQ,2017-05-15,82.3,82.55,83.8,82.15,83.55,83.55,82.85,2007841,166351528.35,13315,796744,39.68,2017,5,83.55,0.0,Slight or No change
1,TATAPOWER,EQ,2017-05-16,83.55,83.9,85.95,83.4,83.7,83.85,84.2,5141578,432930961.3,23193,2125318,41.34,2017,5,83.76574807687169,0.0,Slight or No change
2,TATAPOWER,EQ,2017-05-17,83.85,84.0,86.0,83.6,85.15,85.35,84.92,5499293,466981388.75,32097,2264851,41.18,2017,5,84.45453484908185,2.1543985637342944,Positive
3,TATAPOWER,EQ,2017-05-18,85.35,84.75,85.6,83.5,83.8,83.75,84.49,2296399,194017658.1,6983,1217618,53.02,2017,5,84.34627917116171,-0.11926058437685683,Slight or No change
4,TATAPOWER,EQ,2017-05-19,83.75,84.4,85.45,83.05,83.9,84.15,84.03,6222693,522919913.0,19269,1918659,30.83,2017,5,84.2885790420206,-1.4059753954305698,Negative
5,TATAPOWER,EQ,2017-05-22,84.15,84.25,84.5,80.55,82.0,82.05,82.04,5011530,411146940.1,22255,2305842,46.01,2017,5,83.86004613791931,-2.0298507462686577,Negative
6,TATAPOWER,EQ,2017-05-23,82.05,82.05,82.25,80.0,80.5,80.5,80.41,5940971,477688730.45,21948,4189479,70.52,2017,5,83.23857206835365,-4.337492572786694,Among top losers
7,TATAPOWER,EQ,2017-05-24,80.5,80.65,81.75,80.05,80.25,80.25,80.43,4879178,392440810.0,17019,3525802,72.26,2017,5,82.84446453211251,-2.1937842778793404,Negative
8,TATAPOWER,EQ,2017-05-25,80.25,80.35,81.25,79.85,80.0,80.4,80.37,8911228,716211194.35,29904,5091540,57.14,2017,5,82.36999614970023,-0.1242236024844634,Slight or No change
9,TATAPOWER,EQ,2017-05-26,80.4,80.4,81.25,79.55,81.2,81.05,80.53,2377593,191466207.65,14920,1200115,50.48,2017,5,82.30500290401585,0.9968847352024968,Slight positive
10,TATAPOWER,EQ,2017-05-29,81.05,81.4,81.4,79.8,81.3,81.15,80.82,1724129,139335901.35,11459,757477,43.93,2017,5,82.26518532501709,0.9328358208955168,Slight positive
11,TATAPOWER,EQ,2017-05-30,81.15,81.2,82.8,80.85,82.05,82.4,82.05,1879356,154208164.55,14582,895885,47.67,2017,5,82.27006788492106,1.6656384947563385,Positive
12,TATAPOWER,EQ,2017-05-31,82.4,82.6,82.6,80.6,81.0,81.0,81.26,5984254,486266944.05,47984,4520829,75.55,2017,5,82.13874569310138,-0.1848428835489857,Slight or No change
13,TATAPOWER,EQ,2017-06-01,81.0,81.3,81.35,80.05,80.75,80.7,80.54,2767159,222861845.9,12183,1854477,67.02,2017,6,82.0730954971672,-2.0631067961165095,Negative
14,TATAPOWER,EQ,2017-06-02,80.7,81.0,81.7,80.85,81.2,81.05,81.14,1447974,117491376.0,11053,880352,60.8,2017,6,82.04923678205097,0.06172839506173311,Slight or No change
15,TATAPOWER,EQ,2017-06-05,81.05,81.45,81.55,80.55,81.0,81.0,80.98,2458920,199124669.4,9789,1815292,73.82,2017,6,82.00926799086403,0.3717472118959009,Slight or No change
16,TATAPOWER,EQ,2017-06-06,81.0,81.0,81.05,79.25,79.3,79.6,79.81,3011010,240298418.9,12686,2259482,75.04,2017,6,81.90189363833092,-1.7890191239975373,Negative
17,TATAPOWER,EQ,2017-06-07,79.6,79.5,80.2,79.2,79.75,80.0,79.82,2020824,161303285.65,21068,1173215,58.06,2017,6,81.84665814386007,-1.2345679012345734,Negative
18,TATAPOWER,EQ,2017-06-08,80.0,79.7,79.95,78.55,79.05,79.05,79.07,2330855,184307892.05,13154,1253932,53.8,2017,6,81.75601216737748,-0.6909547738693456,Slight negative
19,TATAPOWER,EQ,2017-06-09,79.05,78.7,79.1,77.55,77.95,77.8,78.01,3785162,295272072.85,18107,2383471,62.97,2017,6,81.55819772826865,-2.750000000000008,Negative
20,TATAPOWER,EQ,2017-06-12,77.8,77.5,79.2,76.65,78.9,78.9,77.62,3119107,242117191.6,16161,1784631,57.22,2017,6,81.45300218084783,-0.1897533206831059,Slight or No change
21,TATAPOWER,EQ,2017-06-13,78.9,79.0,79.5,77.65,77.7,78.1,78.7,2322985,182821951.4,8860,1393413,59.98,2017,6,81.35700797296883,0.385604113110527,Slight or No change
22,TATAPOWER,EQ,2017-06-14,78.1,77.85,77.9,76.75,77.65,77.55,77.37,4060663,314186169.9,21298,2875491,70.81,2017,6,81.17556608277712,-1.7110266159695908,Negative
23,TATAPOWER,EQ,2017-06-15,77.55,77.25,77.9,76.8,77.15,77.1,77.13,3411180,263096857.55,16399,2286207,67.02,2017,6,81.01867414913951,-1.2804097311139517,Negative
24,TATAPOWER,EQ,2017-06-16,77.1,77.1,78.4,76.8,78.3,77.9,77.58,4329268,335872614.1,12344,3259465,75.29,2017,6,80.87340398413406,0.45132172791748637,Slight or No change
25,TATAPOWER,EQ,2017-06-19,77.9,77.9,78.7,77.15,78.0,78.05,77.87,2691021,209553342.25,16505,1798914,66.85,2017,6,80.79395541224304,1.2321660181582317,Positive
26,TATAPOWER,EQ,2017-06-20,78.05,77.7,82.45,77.7,82.35,82.1,81.06,10963089,888661105.2,46025,3736432,34.08,2017,6,80.92827923727567,5.391527599486512,Among top gainers
27,TATAPOWER,EQ,2017-06-21,82.1,82.5,82.5,81.35,81.5,81.75,81.78,5082680,415670805.0,20528,2445722,48.12,2017,6,80.96567734549905,4.74055092889174,Among top gainers
28,TATAPOWER,EQ,2017-06-22,81.75,82.0,83.4,80.75,82.45,82.75,82.14,11286863,927101360.05,30993,4829886,42.79,2017,6,81.12945921525204,0.7917174177831887,Slight positive
29,TATAPOWER,EQ,2017-06-23,82.75,82.7,82.75,81.15,81.6,81.5,81.7,3436311,280758184.0,21976,1545504,44.98,2017,6,81.13953265000498,-0.3058103975535187,Slight or No change
30,TATAPOWER,EQ,2017-06-27,81.5,81.7,83.8,80.8,81.2,81.1,81.79,6031291,493313729.55,24534,3161014,52.41,2017,6,81.13773223781598,-1.9939577039274958,Negative
31,TATAPOWER,EQ,2017-06-28,81.1,81.8,82.0,80.85,81.9,81.65,81.49,3192237,260130959.15,17579,1581809,49.55,2017,6,81.14978963446777,0.18404907975460016,Slight or No change
32,TATAPOWER,EQ,2017-06-29,81.65,82.1,82.7,80.95,81.6,81.55,81.51,2374978,193593062.95,19078,1260861,53.09,2017,6,81.15667726802437,0.5548705302096169,Slight positive
33,TATAPOWER,EQ,2017-06-30,81.55,81.4,81.45,80.5,80.5,80.55,80.87,3999194,323420105.05,19590,2382207,59.57,2017,6,81.13959106834513,-1.3472137170851273,Negative
34,TATAPOWER,EQ,2017-07-03,80.55,80.25,81.1,79.95,80.55,80.4,80.33,5308137,426397033.65,25846,3580555,67.45,2017,7,81.11294025052491,-1.4101778050275793,Negative
35,TATAPOWER,EQ,2017-07-04,80.4,80.9,81.7,80.55,81.55,81.2,81.11,2415946,195953897.25,9875,1187362,49.15,2017,7,81.11434505672169,0.806952203600253,Slight positive
36,TATAPOWER,EQ,2017-07-05,81.2,81.8,82.3,81.55,81.65,81.75,81.91,2227119,182413891.5,11015,781080,35.07,2017,7,81.123661799417,1.6791044776119257,Positive
37,TATAPOWER,EQ,2017-07-06,81.75,82.3,82.5,81.85,81.95,81.95,82.02,1223744,100375977.35,7083,510283,41.7,2017,7,81.13026362478796,0.9236453201970418,Slight positive
38,TATAPOWER,EQ,2017-07-07,81.95,82.0,83.0,81.4,81.65,81.7,81.82,3227783,264106441.65,21295,1782372,55.22,2017,7,81.14202172736877,-0.06116207951070152,Slight or No change
39,TATAPOWER,EQ,2017-07-10,81.7,89.05,89.05,82.6,83.4,83.45,83.41,1442406,120304625.7,3828,1068781,74.1,2017,7,81.16311244215008,1.8303843807199405,Positive
40,TATAPOWER,EQ,2017-07-11,83.45,84.0,84.2,82.75,83.0,83.0,83.12,4536568,377084193.8,15122,3259739,71.85,2017,7,81.21443119312154,1.591187270501826,Positive
41,TATAPOWER,EQ,2017-07-12,83.0,83.7,84.0,82.75,83.05,83.05,83.05,3279731,272380886.15,17982,2503801,76.34,2017,7,81.25077166702057,-0.47932893948472444,Slight or No change
42,TATAPOWER,EQ,2017-07-13,83.05,83.6,83.9,82.9,83.2,83.25,83.29,1882220,156762765.05,9919,1035271,55.0,2017,7,81.27323156986085,0.3012048192771122,Slight or No change
43,TATAPOWER,EQ,2017-07-14,83.25,83.35,83.6,82.75,82.85,82.95,83.02,4106073,340896253.85,6757,3435624,83.67,2017,7,81.31334221419337,-0.12040939193256328,Slight or No change
44,TATAPOWER,EQ,2017-07-17,82.95,83.0,84.1,83.0,83.4,83.4,83.58,5230073,437130467.85,12665,2808753,53.7,2017,7,81.37504199970722,0.18018018018017834,Slight or No change
45,TATAPOWER,EQ,2017-07-18,83.4,83.3,83.9,81.9,82.2,82.45,82.81,3271847,270940819.2,11713,1720494,52.58,2017,7,81.3945651143796,-0.6027727546714878,Slight negative
46,TATAPOWER,EQ,2017-07-19,82.45,82.4,83.25,81.9,83.0,82.95,82.42,3930557,323940017.7,19358,2188340,55.68,2017,7,81.42777725946736,-0.5395683453237488,Slight negative
